date,time,engineer_at_time_of_reading,equipment_code,equipment_category,running_hrs,pressureInd_kgf_cm2,temperature_celsius,vibrationInd_kHz,has_failure,total_failure_count,downtime_min,failure_category,mtbf,mttr
01/05/2017,01:11:00,Thomas Try,equipment_4253,Accommodation Equipment,5659,91.05138614,78.61742661,0.182893129,0,7,1586,Weather,808,227
01/05/2017,01:26:00,Peter Sample,equipment_2239,Lifesaving Safety and Firefighting Equipment,453,110.9349035,155.3838857,0.9242476,0,3,2724,Fatigue,151,908
01/05/2017,01:26:00,Monika Trial,equipment_2855,Automation and Control,11615,106.1000779,93.34575008,0.495276277,0,3,594,Overload,3872,198
01/05/2017,01:27:00,Thomas Try,equipment_3932,Fabrication Equipment and Software,9702,121.3920162,131.3832723,0.207002353,1,5,781,Material failure,1940,156
01/05/2017,01:31:00,Thomas Try,equipment_297,Accommodation Equipment,9355,68.85065142,115.7119699,0.591752965,1,6,39,Corrosion,1559,6
01/05/2017,01:55:00,Peter Sample,equipment_4801,Tanks and Heating,1470,115.5279271,92.37923722,0.090849031,0,6,2145,Fire,245,358
01/05/2017,02:02:00,Peter Tank,equipment_2807,Automation and Control,10306,112.8676307,119.151983,0.909236852,0,3,1843,Weather,3435,614
01/05/2017,02:05:00,Monika Trial,equipment_3756,Engineering,7923,100.1303832,120.325407,0.271720362,0,7,1843,Failure of handling,1132,263
01/05/2017,02:11:00,Peter Sample,equipment_502,Fabrication Equipment and Software,8002,123.9284399,110.9507609,0.299927087,0,5,353,Overload,1600,71
01/05/2017,02:30:00,Claudia Piston,equipment_2095,Management Services and Software,7652,76.19664829,95.97696993,0.9186873,0,6,914,Fire,1275,152
01/05/2017,02:47:00,Thomas Try,equipment_4157,Materials Protection and Isolation,8853,133.4265573,95.73557981,0.647900378,0,6,427,Unknown,1476,71
01/05/2017,02:48:00,Peter Sample,equipment_4857,Air Gas and Pneumatic Equipment,8908,119.4140619,85.28897211,0.780856834,0,3,1653,Material failure,2969,551
01/05/2017,03:04:00,Christine Flowmeter,equipment_4601,Lifesaving Safety and Firefighting Equipment,5089,65.11291145,97.05480756,0.864362268,0,3,2179,Lubrication failure,1696,726
01/05/2017,03:17:00,Peter Sample,equipment_1067,Automation and Control,2098,81.92521008,110.9066888,0.466724002,0,5,1359,Construction failure,420,272
01/05/2017,03:27:00,Apostolis Papaioannou,equipment_3411,Management Services and Software,2224,67.47327555,83.05283881,0.806289924,0,4,1788,Human error,556,447
01/05/2017,03:29:00,Peter Sample,equipment_1197,Electrical,1031,92.94336584,118.6429881,0.10789078,0,6,2291,Construction failure,172,382
01/05/2017,04:15:00,Thomas Try,equipment_3767,Lifesaving Safety and Firefighting Equipment,4591,111.0734869,89.94547053,0.676811245,1,8,2868,Human error,574,358
01/05/2017,04:34:00,Peter Tank,equipment_2286,Management Services and Software,9028,117.6266596,107.4600703,0.773391111,1,5,1077,Human error,1806,215
01/05/2017,04:47:00,Monika Trial,equipment_2782,Accommodation Equipment,11898,86.10751429,83.15696087,0.658842433,0,6,1228,Corrosion,1983,205
01/05/2017,04:47:00,Claudia Piston,equipment_2948,Structures and Outfitting Details,10960,85.56228351,97.14373123,0.506841403,0,1,2656,Human error,10960,2656
01/05/2017,04:47:00,Peter Sample,equipment_285,Tanks and Heating,5846,99.23940261,100.6230519,0.988804742,0,3,2334,Manufacturing failure,1949,778
01/05/2017,05:04:00,Apostolis Papaioannou,equipment_2298,Navigation and Communication,3366,80.7822454,87.47371346,0.015046366,0,4,64,Corrosion,842,16
01/05/2017,05:28:00,Peter Tank,equipment_4379,Boats,3937,71.48203946,132.7477118,0.634598472,0,4,622,Material failure,984,156
01/05/2017,05:43:00,Monika Trial,equipment_4214,Electrical,11664,90.08072329,86.140575,0.213844296,0,2,2672,Overpressure,5832,1336
01/05/2017,05:45:00,Carlos Filter,equipment_3843,Electrical,8749,107.9141561,124.397205,0.234147709,1,9,219,Lubrication failure,972,24
01/05/2017,05:47:00,Apostolis Papaioannou,equipment_3753,Materials Protection and Isolation,9990,100.2848608,106.1875516,0.485575954,0,3,674,Fire,3330,225
01/05/2017,06:08:00,Thomas Try,equipment_2756,Tanks and Heating,10920,79.0391301,102.7117398,0.946511157,0,7,16,Overload,1560,2
01/05/2017,06:20:00,John Smith,equipment_1905,Air Gas and Pneumatic Equipment,11861,111.6225804,125.2775595,0.822849875,0,4,1273,Corrosion,2965,318
01/05/2017,06:35:00,Apostolis Papaioannou,equipment_1261,Boats,10292,79.63958383,87.22372543,0.98037252,1,3,786,Unknown,3431,262
01/05/2017,06:45:00,Apostolis Papaioannou,equipment_2738,Automation and Control,7721,89.74268264,44.33108441,0.586510784,1,2,14,Fatigue,3860,7
01/05/2017,06:48:00,Apostolis Papaioannou,equipment_4792,Tanks and Heating,3345,132.6130061,86.81560948,0.980851465,1,8,1508,Insufficient maintenance,418,188
01/05/2017,07:02:00,Thomas Try,equipment_1883,Fabrication Equipment and Software,10367,83.48699368,128.3033183,0.763082607,1,7,2455,Lubrication failure,1481,351
01/05/2017,07:08:00,Claudia Piston,equipment_2197,Fluid Transfer and Treatment,7958,85.21625561,70.92465014,0.29879522,1,3,2242,Overload,2653,747
01/05/2017,07:09:00,John Smith,equipment_3776,Air Gas and Pneumatic Equipment,8342,96.97853587,121.4755021,0.391324669,1,6,1470,Fire,1390,245
01/05/2017,07:19:00,Claudia Piston,equipment_2685,Lifesaving Safety and Firefighting Equipment,4238,104.9116487,83.42149109,0.138783433,0,5,278,Unclear,848,56
01/05/2017,07:21:00,Peter Sample,equipment_2007,Deck Machinery and Equipment,3274,83.49423659,121.2977598,0.203089894,1,3,458,Unknown,1091,153
01/05/2017,07:27:00,Carlos Filter,equipment_4864,Engineering,10266,130.6205854,72.85384667,0.499625158,0,3,993,Weather,3422,331
01/05/2017,07:38:00,Peter Sample,equipment_2038,Cooling Equipment,11531,86.3692016,52.58127457,0.525224555,0,4,1110,Lubrication failure,2883,278
01/05/2017,07:51:00,Peter Sample,equipment_2019,Boats,4297,79.53109778,53.46082223,0.533521902,0,9,65,Unclear,477,7
01/05/2017,08:02:00,Monika Trial,equipment_3227,Automation and Control,5103,89.88222274,90.89449635,0.413277799,0,1,351,Human error,5103,351
01/05/2017,08:18:00,Apostolis Papaioannou,equipment_2059,Lifesaving Safety and Firefighting Equipment,9039,80.16096302,113.9839003,0.870526556,1,9,2396,Corrosion,1004,266
01/05/2017,08:19:00,Claudia Piston,equipment_1762,Tanks and Heating,1801,91.48387459,105.9797527,0.602952681,1,2,1301,Unclear,900,650
01/05/2017,08:26:00,Christine Flowmeter,equipment_1712,Fluid Transfer and Treatment,8537,113.3491219,101.5657772,0.506072361,0,3,1505,Fire,2846,502
01/05/2017,08:42:00,Carlos Filter,equipment_705,Fluid Transfer and Treatment,3903,71.32208515,117.5391579,0.53371601,0,7,2265,Weather,558,324
01/05/2017,08:56:00,Thomas Try,equipment_1171,Hydraulics Equipment,10709,86.49978354,92.64598661,0.056817806,1,6,242,Unknown,1785,40
01/05/2017,09:03:00,Apostolis Papaioannou,equipment_4331,Deck Machinery and Equipment,8675,146.4982724,136.030098,0.224150356,1,1,2643,Overpressure,8675,2643
01/05/2017,09:20:00,Thomas Try,equipment_4624,Power Generation Propulsion and Manouvering,7837,120.4946348,103.595199,0.81938697,1,1,1991,Unknown,7837,1991
01/05/2017,09:29:00,Peter Sample,equipment_2606,Boats,5457,70.35776433,149.8722976,0.073637776,1,5,702,Unknown,1091,140
01/05/2017,09:31:00,Monika Trial,equipment_1091,Structures and Outfitting Details,3541,81.36962424,82.35935334,0.803131273,1,8,2566,Failure of handling,443,321
01/05/2017,09:32:00,Peter Tank,equipment_3617,Automation and Control,7419,89.33143548,108.5998878,0.140893881,1,6,2651,Construction failure,1236,442
01/05/2017,09:39:00,Christine Flowmeter,equipment_1049,Hydraulics Equipment,9344,96.06869558,120.2784907,0.670650898,0,2,1711,Failure of handling,4672,856
